Vessel,Type,Size,Fishcapacity,FuelCapacity,FuelPerDay,Speed,TripLengthSWF,TripLengthTUNA,MAXDaysInSea,OwnerOperated,OwnerEthnicity,RevenueShare,HookSWF,HookTUNA,Crew,FixedCost,WagePerDay,OperatingCostSWF,OperatingCostTUNA,TravelCost,NetWork,CPUE_SWF_BYT,CPUE_SWF_YFT,CPUE_SWF_SWF,CPUE_SWF_OTHER,CPUE_TUNA_BYT,CPUE_TUNA_YFT,CPUE_TUNA_SWF,CPUE_TUNA_OTHER,PRICE_TUNA_BYT,PRICE_TUNA_YFT,PRICE_TUNA_SWF,PRICE_TUNA_OTHER,PRICE_SWF_BYT,PRICE_SWF_YFT,PRICE_SWF_SWF,PRICE_SWF_OTHER,IPUE_LOG,IPUE_LTH,MaxRevenue
1,T,1,30856,1724,68,372,0,13,21,0,0,0,0,1.89117,0,0,380.242,371.778,371.778,275.686,22,-9999,-9999,-9999,-9999,-192.54,-209.668,-7.619,-189.504,-0.07044,0.51584,-0.61848,0.08137,-0.07044,0.51584,-0.61848,0.08137,1,1,42264
2,T,2,39672,2174,119,420,0,13,22,0,0,0,0,1.76034,0,0,109.03,363.265,363.265,339.59,50,-9999,-9999,-9999,-9999,-205.81,-229.787,-6.781,-219.064,-0.07934,0.23494,-0.89806,0.18111,-0.07934,0.23494,-0.89806,0.18111,1,1,32725
3,T,2,41876,4134,111,295.2,0,19,42,0,0,0,0,1.92525,0,0,512.16,360.344,360.344,429.39,73,-9999,-9999,-9999,-9999,-189.98,-208.629,-8.513,-173.021,-0.02006,-0.03284,-0.44985,0.0535,-0.02006,-0.03284,-0.44985,0.0535,1,1,65292
4,T,1,22040,4379,117,297.6,0,17,29,0,0,0,0,1.77449,0,0,33.04,280.808,280.808,505.05,110,-9999,-9999,-9999,-9999,-236.53,-220.226,-6.52,-240.759,-0.36984,0.19979,-0.1818,0.05501,-0.36984,0.19979,-0.1818,0.05501,1,1,48575
5,T,2,138852,3616,153,252,0,17,31,0,0,0,0,1.96954,0,0,424.54,406.784,406.784,433.592,51,-9999,-9999,-9999,-9999,-164.27,-209.039,-7.71,-183.832,-0.14145,0.15557,-0.2498,0.02939,-0.14145,0.15557,-0.2498,0.02939,1,1,92255
6,T,2,138852,2200,149,249.6,0,19,25,0,0,0,0,2.40395,0,0,695.49,388.319,388.319,237.41,106,-9999,-9999,-9999,-9999,-102.74,-200.016,-1.529,-159.405,0.3745,0.38654,0.31767,0.00527,0.3745,0.38654,0.31767,0.00527,1,1,120585
7,T,2,149872,6963,179,261.6,0,17,39,0,0,0,0,1.93898,0,0,46.97,590.955,590.955,832.16,84,-9999,-9999,-9999,-9999,-152.87,-213.829,-8.034,-196.396,-0.09154,-0.19979,-0.37473,0.06304,-0.09154,-0.19979,-0.37473,0.06304,1,1,85087
8,T,2,147668,4609,425,405.6,0,19,27,0,0,0,0,2.05638,0,0,859.58,483.802,483.802,475.86,75,-9999,-9999,-9999,-9999,-123.3,-168.589,-3.52,-196.462,0.06766,0.05041,0.12054,0.20625,0.06766,0.05041,0.12054,0.20625,1,1,146685
9,M,2,193952,9600,170,266.4,38,24,38,0,0,0,0.73386,1.96555,0,0,314.74,507.646,507.646,505.25,70,-131.827,6.435,-814.2,-212.626,-173.68,-202.903,-9.207,-135.187,-0.48128,0.09383,-0.22592,-0.08516,0.94813,-0.90641,-0.46406,0.18803,1,1,111169
10,T,1,74936,2426,128,312,0,18,28,0,0,0,0,2.17938,0,0,380.242,371.778,371.778,275.686,85,-9999,-9999,-9999,-9999,-101.65,-205.923,-4.936,-187.045,-0.30541,-0.21826,-0.35317,0.16328,-0.30541,-0.21826,-0.35317,0.16328,1,1,65674
11,T,2,125628,3938,230,300,0,19,31,0,0,0,0,2.29202,0,0,633.12,297.128,297.128,424.47,32,-9999,-9999,-9999,-9999,-151.73,-202.173,-8.33,-155.569,0.10414,0.27776,0.18785,0.18753,0.10414,0.27776,0.18785,0.18753,1,1,88684
12,T,2,185136,3307,181,237.6,0,20,33,0,0,0,0,2.06764,0,0,610.21,340.137,340.137,338.38,94,-9999,-9999,-9999,-9999,-135.2,-203.798,-6.443,-180.395,-0.09712,0.22591,0.06385,0.05823,-0.09712,0.22591,0.06385,0.05823,1,1,83416
13,T,1,59508,1448,117,297.6,0,15,26,0,0,0,0,1.97497,0,0,418.3,426.674,426.674,192.58,111,-9999,-9999,-9999,-9999,-174.71,-208.04,-12.182,-189.38,0.05722,0.22161,-0.80042,-0.01799,0.05722,0.22161,-0.80042,-0.01799,1,1,60355
14,T,2,176320,2724,149,220.8,0,20,26,0,0,0,0,2.3696,0,0,678.1,282.896,282.896,268.66,106,-9999,-9999,-9999,-9999,-157.78,-200.584,-6.129,-180.751,-0.03543,0.21685,-0.08008,-0.02299,-0.03543,0.21685,-0.08008,-0.02299,1,1,87928
15,T,1,92568,2467,138,280.8,0,18,27,0,0,0,0,2.07357,0,0,271.9,381.149,381.149,276.6,5,-9999,-9999,-9999,-9999,-186.36,-207.614,-5.676,-178.327,-0.05263,0.20969,-0.00496,0.22298,-0.05263,0.20969,-0.00496,0.22298,1,1,82314
16,T,2,198360,3873,191,247.2,0,18,29,0,0,0,0,2.08687,0,0,424.54,406.784,406.784,433.592,80,-9999,-9999,-9999,-9999,-149.1,-212.075,-6.078,-195.815,-0.1406,0.00165,-0.2064,0.10194,-0.1406,0.00165,-0.2064,0.10194,1,1,83037
17,T,2,114608,3701,191,309.6,0,20,29,0,0,0,0,2.20957,0,0,276.15,389.819,389.819,369.39,83,-9999,-9999,-9999,-9999,-241.69,-211.457,-6.704,-228.72,-0.04127,0.16784,0.19939,0.0899,-0.04127,0.16784,0.19939,0.0899,1,1,61147
18,T,3,257868,5324,310,261.6,0,19,27,0,0,0,0,2.40357,0,0,493.518,434.049,434.049,565.09,40,-9999,-9999,-9999,-9999,-135.06,-204.131,-7.385,-179.703,-0.00982,-0.06384,0.31059,0.21185,-0.00982,-0.06384,0.31059,0.21185,1,1,155289
19,M,3,264480,9704,268,252,48,23,48,0,0,0,0.90881,2.19681,0,0,396.19,482.428,482.428,404.35,99,-164.265,-4.38,-772.11,-302.303,-146.09,-213.94,-8.392,-159.487,-0.35709,0.17496,0.13228,0.04782,-0.55279,-1.37378,-0.34683,-0.20677,1,1,128341
20,T,2,140413,4072,159,271.2,0,19,29,0,0,0,0,2.17829,0,0,424.54,406.784,406.784,433.592,3,-9999,-9999,-9999,-9999,-155.94,-206.239,-0.661,-161.816,0.06545,-0.11327,0.14866,0.15599,0.06545,-0.11327,0.14866,0.15599,1,1,95021
21,T,1,90364,2784,117,297.6,0,19,29,0,0,0,0,2.17529,0,0,534.06,284.248,284.248,298.38,105,-9999,-9999,-9999,-9999,-114.47,-201.623,-3.985,-168.877,0.19971,0.4574,-0.02787,0.17459,0.19971,0.4574,-0.02787,0.17459,1,1,98094
22,T,2,171912,7021,230,280.8,0,17,31,0,0,0,0,2.02717,0,0,242.4,594.626,594.626,836.89,92,-9999,-9999,-9999,-9999,-172.55,-203.927,-10.176,-186.586,-0.09167,0.07969,-0.57444,-0.04097,-0.09167,0.07969,-0.57444,-0.04097,1,1,80780
23,T,2,171912,2791,145,220.8,0,25,37,0,0,0,0,1.84588,0,0,327.7,280.13,280.13,224.91,2,-9999,-9999,-9999,-9999,-178.5,-208.559,-11.883,-223.958,-0.48955,-0.45859,-0.35427,-0.02894,-0.48955,-0.45859,-0.35427,-0.02894,1,1,75894
24,T,2,90364,3145,191,331.2,0,15,27,0,0,0,0,1.65289,0,0,424.54,406.784,406.784,433.592,9,-9999,-9999,-9999,-9999,-81.15,-197.42,-4.794,-161.839,-0.12495,0.01371,-0.62824,0.26706,-0.12495,0.01371,-0.62824,0.26706,1,1,79369
25,T,1,90364,2268,102,256.8,0,16,26,0,0,0,0,1.79592,0,0,380.242,371.778,371.778,275.686,56,-9999,-9999,-9999,-9999,-158.67,-220.12,-9.855,-221.521,-0.03293,-0.2295,-0.37284,0.09586,-0.03293,-0.2295,-0.37284,0.09586,1,1,52427
26,T,2,134444,4695,170,288,0,18,26,0,0,0,0,2.0096,0,0,362.09,419.78,419.78,511.41,107,-9999,-9999,-9999,-9999,-112.9,-191.929,-6.809,-169.363,-0.04649,0.33983,-0.66335,0.16166,-0.04649,0.33983,-0.66335,0.16166,1,1,114919
27,T,1,66120,1383,68,247.2,0,17,26,0,0,0,0,1.74284,0,0,441.48,370.412,370.412,158.82,102,-9999,-9999,-9999,-9999,-170.56,-208.866,-7.549,-194.044,0.1859,0.27747,-0.34272,0.19311,0.1859,0.27747,-0.34272,0.19311,1,1,73870
28,T,3,211584,3364,170,213.6,0,21,30,0,0,0,0,2.51922,0,0,647.18,486.531,486.531,321.45,91,-9999,-9999,-9999,-9999,-231.88,-186.67,-9.533,-124.971,0.08387,0.34372,0.27371,0.09957,0.08387,0.34372,0.27371,0.09957,1,1,92423
29,T,2,169708,5994,213,268.8,0,21,38,0,0,0,0,2.17079,0,0,629.25,555.536,555.536,578.57,28,-9999,-9999,-9999,-9999,-129.02,-215.65,-3.293,-102.371,-0.34014,-0.41673,0.11373,0.05901,-0.34014,-0.41673,0.11373,0.05901,1,1,140796
30,T,3,240236,13862,234,252,0,20,33,0,0,0,0,2.65819,0,0,491.31,517.742,517.742,1383.87,53,-9999,-9999,-9999,-9999,-84.4,-211.337,-4.083,-150.847,-0.09708,-0.07938,0.07449,0.08857,-0.09708,-0.07938,0.07449,0.08857,1,1,173755
31,T,1,83752,3910,149,319.2,0,20,27,0,0,0,0,1.92477,0,0,807.37,518.164,518.164,398.97,17,-9999,-9999,-9999,-9999,-89.25,-213.089,-3.002,-136.965,-0.04456,0.24894,0.00166,0.10652,-0.04456,0.24894,0.00166,0.10652,1,1,87787
32,T,2,143260,5644,179,273.6,0,21,32,0,0,0,0,1.87697,0,0,285.13,438.341,438.341,550.22,107,-9999,-9999,-9999,-9999,-197.02,-188.666,-12.8,-182.151,-0.33645,0.07647,-0.82736,0.14455,-0.33645,0.07647,-0.82736,0.14455,1,1,77692
33,T,2,152076,8918,170,288,0,22,34,0,0,0,0,2.73645,0,0,544.14,467.593,467.593,814.81,4,-9999,-9999,-9999,-9999,-189.3,-199.264,-3.127,-182.371,-0.20115,-0.20109,0.20519,0.09652,-0.20115,-0.20109,0.20519,0.09652,1,1,132127
34,T,1,50692,2032,113,300,0,18,26,0,0,0,0,1.66246,0,0,107.65,273.032,273.032,232.26,42,-9999,-9999,-9999,-9999,-321.14,-241.973,-12.623,-180.955,-0.03507,-0.20254,-0.45299,0.0456,-0.03507,-0.20254,-0.45299,0.0456,1,1,27772
35,T,1,99180,2648,123,280.8,0,22,33,0,0,0,0,1.89645,0,0,337.66,305.53,305.53,236.42,93,-9999,-9999,-9999,-9999,-213.08,-210.933,-8.875,-176.359,-0.35987,0.20355,-0.38577,0.08618,-0.35987,0.20355,-0.38577,0.08618,1,1,58991
36,T,1,107996,2451,136,278.4,0,19,26,0,0,0,0,2.05532,0,0,531.24,452.978,452.978,254.51,36,-9999,-9999,-9999,-9999,-161.15,-205.448,-5.092,-180.459,0.07375,0.47448,0.0679,-0.00528,0.07375,0.47448,0.0679,-0.00528,1,1,92248
37,T,2,138852,2414,155,268.8,0,19,32,0,0,0,0,2.49942,0,0,380.66,344.043,344.043,248.23,78,-9999,-9999,-9999,-9999,-229.89,-184.434,-6.068,-164.115,0.10814,-0.13795,0.04769,0.00249,0.10814,-0.13795,0.04769,0.00249,1,1,109183
38,T,2,138852,3732,170,288,0,17,31,0,0,0,0,1.99592,0,0,424.54,406.784,406.784,433.592,34,-9999,-9999,-9999,-9999,-172.71,-204.173,-5.817,-171.797,0.32301,-0.00347,0.04255,0.17685,0.32301,-0.00347,0.04255,0.17685,1,1,72983
39,T,2,130036,4217,153,261.6,0,19,31,0,0,0,0,2.34456,0,0,424.54,406.784,406.784,433.592,57,-9999,-9999,-9999,-9999,-169.48,-192.203,-7.162,-181.459,-0.20667,0.39188,0.301,0.21729,-0.20667,0.39188,0.301,0.21729,1,1,80656
