"","id","Longitude","Latitude","Area","OceanRegionCode","IsHome","SWF_BYT","SWF_YFT","SWF_SWF","SWF_OTHER","TUNA_BYT","TUNA_YFT","TUNA_SWF","TUNA_OTHER","SWF_LOG","SWF_LTH","TUNA_LOG","TUNA_LTH"
"1473",1473,167,32,3,"WCPO",0,233.637654704458,70.0927358085118,-31.7119158877628,389.643041394114,457.460203731963,63.8183333312398,12.3641495172696,319.494730391285,0,0.00796,0,0
"1474",1474,168,32,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.00796,0,0
"1475",1475,169,32,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0.00796,0,0
"1476",1476,170,32,4,"WCPO",0,-9999,-9999,-9999,-9999,353.479092525101,131.395848416354,57.1025241952203,395.107907543438,0,0,0,0
"1477",1477,171,32,4,"WCPO",0,269.051981290087,101.161170312245,104.886997678727,-79.0671694456606,326.361902164318,-40.5952372397351,66.7410151165626,424.704042760466,0,0,0,0
"1478",1478,172,32,4,"WCPO",0,314.155387492652,104.409214260294,895.700995010739,150.736171648588,759.868383618636,209.923872476849,31.8395913632804,546.504478296511,0,0,0,0
"1479",1479,173,32,4,"WCPO",0,-9999,-9999,-9999,-9999,685.281735828225,95.9284511196519,29.7291668614578,275.984949131409,0,0,0,0
"1480",1480,174,32,4,"WCPO",0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0
"1481",1481,175,32,4,"WCPO",0,-9999,-9999,-9999,-9999,664.169289417439,171.960725680161,58.5873602781092,277.773951055353,0,0,0,0
"1482",1482,176,32,4,"WCPO",0,119.313579638531,-44.9266446350783,-123.541237404434,-180.736965096101,525.815715806052,61.4466100644035,64.5152146745734,458.110996179843,0,0,0,0
